,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,date
0,6:53:18 AM,2:29:56 PM,10:41:37 AM,07:36:38,6:12:38 AM,3:10:36 PM,5:27:00 AM,3:56:13 PM,4:44:07 AM,4:39:07 PM,2022-01-01
1,6:53:06 AM,2:31:04 PM,10:42:05 AM,07:37:58,6:12:31 AM,3:11:39 PM,5:26:57 AM,3:57:13 PM,4:44:06 AM,4:40:04 PM,2022-01-02
2,6:52:50 AM,2:32:15 PM,10:42:33 AM,07:39:25,6:12:21 AM,3:12:44 PM,5:26:51 AM,3:58:14 PM,4:44:03 AM,4:41:03 PM,2022-01-03
3,6:52:31 AM,2:33:29 PM,10:43:00 AM,07:40:58,6:12:08 AM,3:13:52 PM,5:26:42 AM,3:59:18 PM,4:43:56 AM,4:42:04 PM,2022-01-04
4,6:52:08 AM,2:34:46 PM,10:43:27 AM,07:42:38,6:11:51 AM,3:15:03 PM,5:26:30 AM,4:00:24 PM,4:43:47 AM,4:43:07 PM,2022-01-05
5,6:51:42 AM,2:36:05 PM,10:43:53 AM,07:44:23,6:11:31 AM,3:16:16 PM,5:26:15 AM,4:01:32 PM,4:43:35 AM,4:44:12 PM,2022-01-06
6,6:51:12 AM,2:37:27 PM,10:44:19 AM,07:46:15,6:11:08 AM,3:17:31 PM,5:25:57 AM,4:02:42 PM,4:43:20 AM,4:45:19 PM,2022-01-07
7,6:50:38 AM,2:38:51 PM,10:44:45 AM,07:48:13,6:10:42 AM,3:18:48 PM,5:25:36 AM,4:03:54 PM,4:43:02 AM,4:46:28 PM,2022-01-08
8,6:50:02 AM,2:40:18 PM,10:45:10 AM,07:50:16,6:10:12 AM,3:20:08 PM,5:25:12 AM,4:05:08 PM,4:42:41 AM,4:47:39 PM,2022-01-09
9,6:49:21 AM,2:41:48 PM,10:45:34 AM,07:52:27,6:09:39 AM,3:21:30 PM,5:24:45 AM,4:06:24 PM,4:42:18 AM,4:48:51 PM,2022-01-10
10,6:48:37 AM,2:43:19 PM,10:45:58 AM,07:54:42,6:09:03 AM,3:22:53 PM,5:24:15 AM,4:07:41 PM,4:41:51 AM,4:50:05 PM,2022-01-11
11,6:47:50 AM,2:44:53 PM,10:46:22 AM,07:57:03,6:08:25 AM,3:24:19 PM,5:23:43 AM,4:09:01 PM,4:41:22 AM,4:51:21 PM,2022-01-12
12,6:47:00 AM,2:46:29 PM,10:46:44 AM,07:59:29,6:07:43 AM,3:25:46 PM,5:23:07 AM,4:10:22 PM,4:40:50 AM,4:52:38 PM,2022-01-13
13,6:46:06 AM,2:48:06 PM,10:47:06 AM,08:02:00,6:06:57 AM,3:27:15 PM,5:22:28 AM,4:11:45 PM,4:40:15 AM,4:53:57 PM,2022-01-14
14,6:45:10 AM,2:49:46 PM,10:47:28 AM,08:04:36,6:06:09 AM,3:28:46 PM,5:21:47 AM,4:13:09 PM,4:39:38 AM,4:55:18 PM,2022-01-15
15,6:44:10 AM,2:51:27 PM,10:47:48 AM,08:07:17,6:05:18 AM,3:30:18 PM,5:21:02 AM,4:14:35 PM,4:38:57 AM,4:56:40 PM,2022-01-16
16,6:43:07 AM,2:53:10 PM,10:48:08 AM,08:10:03,6:04:24 AM,3:31:52 PM,5:20:15 AM,4:16:02 PM,4:38:14 AM,4:58:03 PM,2022-01-17
17,6:42:01 AM,2:54:55 PM,10:48:28 AM,08:12:54,6:03:28 AM,3:33:28 PM,5:19:25 AM,4:17:30 PM,4:37:28 AM,4:59:28 PM,2022-01-18
18,6:40:52 AM,2:56:41 PM,10:48:46 AM,08:15:49,6:02:28 AM,3:35:05 PM,5:18:33 AM,4:19:00 PM,4:36:39 AM,5:00:54 PM,2022-01-19
19,6:39:41 AM,2:58:28 PM,10:49:04 AM,08:18:47,6:01:26 AM,3:36:43 PM,5:17:37 AM,4:20:31 PM,4:35:47 AM,5:02:21 PM,2022-01-20
20,6:38:26 AM,3:00:17 PM,10:49:21 AM,08:21:51,6:00:20 AM,3:38:22 PM,5:16:39 AM,4:22:04 PM,4:34:53 AM,5:03:50 PM,2022-01-21
21,6:37:09 AM,3:02:06 PM,10:49:38 AM,08:24:57,5:59:13 AM,3:40:03 PM,5:15:38 AM,4:23:37 PM,4:33:56 AM,5:05:19 PM,2022-01-22
22,6:35:49 AM,3:03:57 PM,10:49:53 AM,08:28:08,5:58:02 AM,3:41:45 PM,5:14:35 AM,4:25:12 PM,4:32:57 AM,5:06:50 PM,2022-01-23
23,6:34:27 AM,3:05:50 PM,10:50:08 AM,08:31:23,5:56:49 AM,3:43:27 PM,5:13:29 AM,4:26:48 PM,4:31:54 AM,5:08:22 PM,2022-01-24
24,6:33:02 AM,3:07:43 PM,10:50:22 AM,08:34:41,5:55:33 AM,3:45:11 PM,5:12:20 AM,4:28:24 PM,4:30:50 AM,5:09:55 PM,2022-01-25
25,6:31:34 AM,3:09:37 PM,10:50:35 AM,08:38:03,5:54:15 AM,3:46:56 PM,5:11:09 AM,4:30:02 PM,4:29:42 AM,5:11:28 PM,2022-01-26
26,6:30:04 AM,3:11:31 PM,10:50:48 AM,08:41:27,5:52:54 AM,3:48:41 PM,5:09:55 AM,4:31:40 PM,4:28:32 AM,5:13:03 PM,2022-01-27
27,6:28:32 AM,3:13:27 PM,10:50:59 AM,08:44:55,5:51:31 AM,3:50:27 PM,5:08:39 AM,4:33:20 PM,4:27:20 AM,5:14:39 PM,2022-01-28
28,6:26:57 AM,3:15:23 PM,10:51:10 AM,08:48:26,5:50:06 AM,3:52:14 PM,5:07:20 AM,4:35:00 PM,4:26:05 AM,5:16:16 PM,2022-01-29
29,6:25:21 AM,3:17:20 PM,10:51:20 AM,08:51:59,5:48:38 AM,3:54:02 PM,5:05:59 AM,4:36:41 PM,4:24:47 AM,5:17:53 PM,2022-01-30
30,6:23:42 AM,3:19:17 PM,10:51:29 AM,08:55:35,5:47:08 AM,3:55:50 PM,5:04:36 AM,4:38:23 PM,4:23:27 AM,5:19:32 PM,2022-01-31
31,6:22:01 AM,3:21:15 PM,10:51:38 AM,08:59:14,5:45:36 AM,3:57:39 PM,5:03:10 AM,4:40:05 PM,4:22:05 AM,5:21:11 PM,2022-02-01
32,6:20:17 AM,3:23:13 PM,10:51:45 AM,09:02:56,5:44:02 AM,3:59:29 PM,5:01:42 AM,4:41:48 PM,4:20:40 AM,5:22:51 PM,2022-02-02
33,6:18:32 AM,3:25:11 PM,10:51:52 AM,09:06:39,5:42:25 AM,4:01:19 PM,5:00:12 AM,4:43:32 PM,4:19:12 AM,5:24:31 PM,2022-02-03
34,6:16:45 AM,3:27:10 PM,10:51:58 AM,09:10:25,5:40:47 AM,4:03:09 PM,4:58:40 AM,4:45:16 PM,4:17:43 AM,5:26:13 PM,2022-02-04
