free_text,address,price,price_meter,rooms,area,more,add_link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,scraping_date,address_new,Longitude,Latitude
"atrakcyjna kawalerka, Belweder","Mieszkanie na sprzedaż: ul. ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",415000.0,10988,1 pokój,37.77,Biuro nieruchomości,/pl/oferta/atrakcyjna-kawalerka-belweder-ID4oIIB,"37,77 m²",pełna własność,1,do zamieszkania,3/3,Zapytaj,450 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,brak informacji,blok,plastikowe,nie,brak informacji,"teren zamknięty, domofon / wideofon",meble,piwnica,brak informacji,2024-01-16,"ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4788259,53.7391123
Dwa pokoje w Centrum Miasta!,"Mieszkanie na sprzedaż: al. Tadeusza Kościuszki, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",359900.0,7707,2 pokoje,46.7,Biuro nieruchomości,/pl/oferta/dwa-pokoje-w-centrum-miasta-ID4onWs,"46,7 m²",pełna własność,2,Zapytaj,3/3,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1969,blok,plastikowe,nie,telewizja kablowa,domofon / wideofon,brak informacji,piwnica,brak informacji,2024-01-16,"Tadeusza Kościuszki, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",20.4897155,53.7788466
Dwa pokoje z potencjałem,"Mieszkanie na sprzedaż: al. Aleja Wojska Polskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",385000.0,7825,2 pokoje,49.2,Biuro nieruchomości,/pl/oferta/dwa-pokoje-z-potencjalem-ID4oFj1,"49,2 m²",Zapytaj,2,Zapytaj,2/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,brak informacji,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",cegła,2024-01-16,"Aleja Wojska Polskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",,
"ul.Pana Tadeusza 12, 32,3m2, 2pok. , IIIp./IVp.- d","Mieszkanie na sprzedaż: ul. Pana Tadeusza, Pojezierze, Olsztyn, warmińsko-mazurskie",259000.0,8094,2 pokoje,32.0,Biuro nieruchomości,/pl/oferta/ul-pana-tadeusza-12-32-3m2-2pok-iiip-ivp-d-ID4oIxi,32 m²,Zapytaj,2,Zapytaj,3/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,2024-01-16,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Pana Tadeusza, Pojezierze, Olsztyn, warmińsko-mazurskie",20.511666,53.7753241
"sprzedam mieszkanie, bardzo dobre położenie","Mieszkanie na sprzedaż: ul. Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie",490000.0,10426,2 pokoje,47.0,47 m²,/pl/oferta/sprzedam-mieszkanie-bardzo-dobre-polozenie-ID4ofGs,47 m²,pełna własność,2,do zamieszkania,5/6,balkon,690 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2008,blok,plastikowe,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor, pralka",oddzielna kuchnia,beton komórkowy,2024-01-16,"Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie",20.4722415,53.7631368
"Wyjątkowe, nowoczesne M-4 w Apartamentowcu Opera!","Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",699000.0,12502,3 pokoje,55.91,Biuro nieruchomości,/pl/oferta/wyjatkowe-nowoczesne-m-4-w-apartamentowcu-opera-ID4oIk7,"55,91 m²",pełna własność,3,Zapytaj,7/10,balkon,497 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2019,apartamentowiec,plastikowe,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",20.5014212,53.7790462
Luksusowy czteropokojowy apartament w Centrum!,"Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",830000.0,11761,4 pokoje,70.57,Biuro nieruchomości,/pl/oferta/luksusowy-czteropokojowy-apartament-w-centrum-ID4oIk5,"70,57 m²",pełna własność,4,do zamieszkania,1/10,balkon,823 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2019,apartamentowiec,plastikowe,tak,brak informacji,brak informacji,brak informacji,piwnica,brak informacji,2024-01-16,"Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",20.5014212,53.7790462
Popiełuszki 26 - kompaktowe 2 pokojowe,"Mieszkanie na sprzedaż: ul. ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",355000.0,12331,2 pokoje,28.79,Biuro nieruchomości,/pl/oferta/popieluszki-26-kompaktowe-2-pokojowe-ID4oq3z,"28,79 m²",pełna własność,2,Zapytaj,2/3,balkon,399 zł,Zapytaj,tak,miejskie,wtórny,biuro nieruchomości ,brak informacji,2012,blok,plastikowe,nie,internet,domofon / wideofon,brak informacji,piwnica,pustak,2024-01-16,"ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4788259,53.7391123
2 pokoje przy Uwm - piękny widok,"Mieszkanie na sprzedaż: Borkowskiego, Podgrodzie, Olsztyn, warmińsko-mazurskie",278000.0,8424,2 pokoje,33.0,Biuro nieruchomości,/pl/oferta/2-pokoje-przy-uwm-piekny-widok-ID4ozOA,33 m²,Zapytaj,2,Zapytaj,9/11,Zapytaj,400 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1976,blok,drewniane,tak,brak informacji,domofon / wideofon,brak informacji,piwnica,wielka płyta,2024-01-16,"Borkowskiego, Podgrodzie, Olsztyn, warmińsko-mazurskie",20.4744644,53.7671043
Oaza spokoju - 4 pokoje z widokiem na las,"Mieszkanie na sprzedaż: ul. Bartąska, Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",785000.0,10608,4 pokoje,74.0,Biuro nieruchomości,/pl/oferta/oaza-spokoju-4-pokoje-z-widokiem-na-las-ID4osPo,74 m²,pełna własność,4,Zapytaj,2/2,balkon,550 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2008,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,"piwnica, dwupoziomowe",pustak,2024-01-16,"Bartąska, Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",20.4721151,53.7214308
