free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
Apartament Premium nad jeziorem Olsztyn Mazury,"Mieszkanie na sprzedaż: Olimpijska 21, Likusy, Olsztyn, warmińsko-mazurskie",459 000 zł,16 393 zł/m²,2 pokoje,28 m²,28 m²,/pl/oferta/apartament-premium-nad-jeziorem-olsztyn-mazury-ID4nqNc,01/16/24
Przestronne 3pokojowe mieszkanie w Centrum Jarot!,"Mieszkanie na sprzedaż: ul. Floriana Piotrowskiego, Jaroty, Olsztyn, warmińsko-mazurskie",630 000 zł,9251 zł/m²,3 pokoje,"68,1 m²",Biuro nieruchomości,/pl/oferta/przestronne-3pokojowe-mieszkanie-w-centrum-jarot-ID4of9R,01/16/24
Mieszkanie 3 pokoje Pieczewo Olsztyn,"Mieszkanie na sprzedaż: ul. Władysława Gębika 59, Pieczewo, Olsztyn, warmińsko-mazurskie",549 000 zł,8318 zł/m²,3 pokoje,66 m²,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-pieczewo-olsztyn-ID4ordK,01/16/24
Mieszkanie 3 pokoje świetna lokalizacja Olsztyn,"Mieszkanie na sprzedaż: ul. Mieczysława Orłowicza 10, Nagórki, Olsztyn, warmińsko-mazurskie",429 000 zł,7103 zł/m²,3 pokoje,"60,4 m²",Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-swietna-lokalizacja-olsztyn-ID4oacl,01/16/24
"OKAZJA 3 pok podleśna BOROWA, NOWE BUDOWNICTWO win","Mieszkanie na sprzedaż: ul. Borowa, Podleśna, Olsztyn, warmińsko-mazurskie",520 000 zł,10 000 zł/m²,3 pokoje,52 m²,52 m²,/pl/oferta/okazja-3-pok-podlesna-borowa-nowe-budownictwo-win-ID4omSj,01/16/24
Os. Leśna| 4- pokojowe mieszkanie A.III/48,"Mieszkanie na sprzedaż: ul. Leśna, Osiedle Nad Jeziorem Długim, Olsztyn, warmińsko-mazurskie",983 326 zł,11 300 zł/m²,4 pokoje,"87,02 m²",Inwestycja deweloperska,/pl/oferta/os-lesna-4-pokojowe-mieszkanie-a-iii-48-ID4bp42,01/16/24
Apartament | A244 z bocznym widokiem na jezioro,"Mieszkanie na sprzedaż: Dajtki, Olsztyn, warmińsko-mazurskie",,,2 pokoje,"32,76 m²",Inwestycja deweloperska,/pl/oferta/apartament-a244-z-bocznym-widokiem-na-jezioro-ID4hgAd,01/16/24
3-pokojowe mieszkanie przy ul. Jaroszyka,"Mieszkanie na sprzedaż: ul. Kazimierza Jaroszyka, Jaroty, Olsztyn, warmińsko-mazurskie",439 000 zł,9052 zł/m²,3 pokoje,"48,5 m²",Biuro nieruchomości,/pl/oferta/3-pokojowe-mieszkanie-przy-ul-jaroszyka-ID4oyVF,01/16/24
Apartament na Gutkowie - stan deweloperski !,"Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569 781 zł,7050 zł/m²,4 pokoje,"80,82 m²",Biuro nieruchomości,/pl/oferta/apartament-na-gutkowie-stan-deweloperski-ID4n2dV,01/16/24
"Apartament Bud."" B"" 80m2 4pok +ogródek ok 200m2","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569 781 zł,7050 zł/m²,4 pokoje,"80,82 m²",Biuro nieruchomości,/pl/oferta/apartament-bud-b-80m2-4pok-ogrodek-ok-200m2-ID4mnvE,01/16/24
