free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
"atrakcyjna kawalerka, Belweder","Mieszkanie na sprzedaż: ul. ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",415 000 zł,10 988 zł/m²,1 pokój,"37,77 m²",Biuro nieruchomości,/pl/oferta/atrakcyjna-kawalerka-belweder-ID4oIIB,2024-01-16
Warszawska99 | mieszkanie 3-pok. | 59,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Kortowo, Olsztyn, warmińsko-mazurskie",,,3 pokoje,"62,15 m²",Inwestycja deweloperska,/pl/oferta/warszawska99-mieszkanie-3-pok-59-ID4nu4e,2024-01-16
Dwa pokoje w Centrum Miasta!,"Mieszkanie na sprzedaż: al. Tadeusza Kościuszki, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",359 900 zł,7707 zł/m²,2 pokoje,"46,7 m²",Biuro nieruchomości,/pl/oferta/dwa-pokoje-w-centrum-miasta-ID4onWs,2024-01-16
Dwa pokoje z potencjałem,"Mieszkanie na sprzedaż: al. Aleja Wojska Polskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",385 000 zł,7825 zł/m²,2 pokoje,"49,2 m²",Biuro nieruchomości,/pl/oferta/dwa-pokoje-z-potencjalem-ID4oFj1,2024-01-16
"ul.Pana Tadeusza 12, 32,3m2, 2pok. , IIIp./IVp.- d","Mieszkanie na sprzedaż: ul. Pana Tadeusza, Pojezierze, Olsztyn, warmińsko-mazurskie",259 000 zł,8094 zł/m²,2 pokoje,32 m²,Biuro nieruchomości,/pl/oferta/ul-pana-tadeusza-12-32-3m2-2pok-iiip-ivp-d-ID4oIxi,2024-01-16
"sprzedam mieszkanie, bardzo dobre położenie","Mieszkanie na sprzedaż: ul. Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie",490 000 zł,10 426 zł/m²,2 pokoje,47 m²,47 m²,/pl/oferta/sprzedam-mieszkanie-bardzo-dobre-polozenie-ID4ofGs,2024-01-16
"Wyjątkowe, nowoczesne M-4 w Apartamentowcu Opera!","Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",699 000 zł,12 502 zł/m²,3 pokoje,"55,91 m²",Biuro nieruchomości,/pl/oferta/wyjatkowe-nowoczesne-m-4-w-apartamentowcu-opera-ID4oIk7,2024-01-16
Luksusowy czteropokojowy apartament w Centrum!,"Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",830 000 zł,11 761 zł/m²,4 pokoje,"70,57 m²",Biuro nieruchomości,/pl/oferta/luksusowy-czteropokojowy-apartament-w-centrum-ID4oIk5,2024-01-16
Popiełuszki 26 - kompaktowe 2 pokojowe,"Mieszkanie na sprzedaż: ul. ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",355 000 zł,12 331 zł/m²,2 pokoje,"28,79 m²",Biuro nieruchomości,/pl/oferta/popieluszki-26-kompaktowe-2-pokojowe-ID4oq3z,2024-01-16
2 pokoje przy Uwm - piękny widok,"Mieszkanie na sprzedaż: Borkowskiego, Podgrodzie, Olsztyn, warmińsko-mazurskie",278 000 zł,8424 zł/m²,2 pokoje,33 m²,Biuro nieruchomości,/pl/oferta/2-pokoje-przy-uwm-piekny-widok-ID4ozOA,2024-01-16
Oaza spokoju - 4 pokoje z widokiem na las,"Mieszkanie na sprzedaż: ul. Bartąska, Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",785 000 zł,10 608 zł/m²,4 pokoje,74 m²,Biuro nieruchomości,/pl/oferta/oaza-spokoju-4-pokoje-z-widokiem-na-las-ID4osPo,2024-01-16
Mieszkanie Osiedle Aurora Nagórki ul. Barcza 50a,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",639 000 zł,11 146 zł/m²,3 pokoje,"57,33 m²","57,33 m²",/pl/oferta/mieszkanie-osiedle-aurora-nagorki-ul-barcza-50a-ID4ouEw,2024-01-16
Przytulne M-3 z aneksem w nowej technologii!,"Mieszkanie na sprzedaż: ul. ks. Roberta Bilitewskiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",429 000 zł,10 176 zł/m²,2 pokoje,"42,16 m²",Biuro nieruchomości,/pl/oferta/przytulne-m-3-z-aneksem-w-nowej-technologii-ID4oIfV,2024-01-16
"Po generalnym remoncie, centrum! Parking, sklepy!","Mieszkanie na sprzedaż: ul. Tadeusza Kościuszki 60A, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",449 900 zł,8998 zł/m²,2 pokoje,50 m²,50 m²,/pl/oferta/po-generalnym-remoncie-centrum-parking-sklepy-ID4mQ63,2024-01-16
Apartament na Gutkowie - stan deweloperski !,"Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569 781 zł,7050 zł/m²,4 pokoje,"80,82 m²",Biuro nieruchomości,/pl/oferta/apartament-na-gutkowie-stan-deweloperski-ID4n2dV,2024-01-16
"Apartament Bud."" B"" 76,7m2 4pok +balkon +poddasze","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",531 531 zł,6930 zł/m²,4 pokoje,"76,7 m²",Biuro nieruchomości,/pl/oferta/apartament-bud-b-76-7m2-4pok-balkon-poddasze-ID4morY,2024-01-16
"Apartament Budynek ""A"" 4 pok 80m2+ogródek ok 200m2","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569 781 zł,7050 zł/m²,4 pokoje,"80,82 m²",Biuro nieruchomości,/pl/oferta/apartament-budynek-a-4-pok-80m2-ogrodek-ok-200m2-ID4jZEd,2024-01-16
"Apartament Bud."" B"" 80m2 4pok +ogródek ok 200m2","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569 781 zł,7050 zł/m²,4 pokoje,"80,82 m²",Biuro nieruchomości,/pl/oferta/apartament-bud-b-80m2-4pok-ogrodek-ok-200m2-ID4mnvE,2024-01-16
"Mieszkanie 3 pok z WIDOKIEM w malowniczej wsi, RUŚ","Mieszkanie na sprzedaż: Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",269 000 zł,4606 zł/m²,3 pokoje,"58,4 m²",Biuro nieruchomości,/pl/oferta/mieszkanie-3-pok-z-widokiem-w-malowniczej-wsi-rus-ID4oHGz,2024-01-16
